method1,method2,sample,unifrac
dada2,dada2,sample073,
de_novo,closed_reference,sample076,0.34808217317840007
closed_reference,de_novo,sample076,0.34808217317840007
de_novo,de_novo,sample076,
closed_reference,closed_reference,sample076,
de_novo,closed_reference,sample081,0.398941946938948
closed_reference,de_novo,sample081,0.398941946938948
de_novo,de_novo,sample081,
closed_reference,closed_reference,sample081,
de_novo,closed_reference,sample083,0.3549729522182521
closed_reference,de_novo,sample083,0.3549729522182521
de_novo,de_novo,sample083,
closed_reference,closed_reference,sample083,
de_novo,closed_reference,sample090,0.3944334853489576
closed_reference,de_novo,sample090,0.3944334853489576
de_novo,de_novo,sample090,
closed_reference,closed_reference,sample090,
de_novo,closed_reference,sample082,0.463555427182001
closed_reference,de_novo,sample082,0.463555427182001
de_novo,de_novo,sample082,
closed_reference,closed_reference,sample082,
de_novo,closed_reference,sample096,0.4158967510307308
closed_reference,de_novo,sample096,0.4158967510307308
de_novo,de_novo,sample096,
closed_reference,closed_reference,sample096,
de_novo,closed_reference,sample080,0.4111015295872268
closed_reference,de_novo,sample080,0.4111015295872268
de_novo,de_novo,sample080,
closed_reference,closed_reference,sample080,
de_novo,closed_reference,sample098,0.3059059844894684
closed_reference,de_novo,sample098,0.3059059844894684
de_novo,de_novo,sample098,
closed_reference,closed_reference,sample098,
de_novo,closed_reference,sample077,0.3184619917318339
closed_reference,de_novo,sample077,0.3184619917318339
de_novo,de_novo,sample077,
closed_reference,closed_reference,sample077,
de_novo,closed_reference,sample101,0.3564224062363934
closed_reference,de_novo,sample101,0.3564224062363934
de_novo,de_novo,sample101,
closed_reference,closed_reference,sample101,
de_novo,closed_reference,sample093,0.3885282455299088
closed_reference,de_novo,sample093,0.3885282455299088
de_novo,de_novo,sample093,
closed_reference,closed_reference,sample093,
de_novo,closed_reference,sample089,0.2934370918528251
closed_reference,de_novo,sample089,0.2934370918528251
de_novo,de_novo,sample089,
closed_reference,closed_reference,sample089,
de_novo,closed_reference,sample105,0.25020814583729317
closed_reference,de_novo,sample105,0.25020814583729317
de_novo,de_novo,sample105,
closed_reference,closed_reference,sample105,
de_novo,closed_reference,sample079,0.23431775619105555
closed_reference,de_novo,sample079,0.23431775619105555
de_novo,de_novo,sample079,
closed_reference,closed_reference,sample079,
de_novo,closed_reference,sample106,0.31148212696580596
closed_reference,de_novo,sample106,0.31148212696580596
de_novo,de_novo,sample106,
closed_reference,closed_reference,sample106,
de_novo,closed_reference,sample115,0.2527410146928847
closed_reference,de_novo,sample115,0.2527410146928847
de_novo,de_novo,sample115,
closed_reference,closed_reference,sample115,
de_novo,closed_reference,sample112,0.2645677970035354
closed_reference,de_novo,sample112,0.2645677970035354
de_novo,de_novo,sample112,
closed_reference,closed_reference,sample112,
de_novo,closed_reference,sample113,0.19968368634535757
closed_reference,de_novo,sample113,0.19968368634535757
de_novo,de_novo,sample113,
closed_reference,closed_reference,sample113,
de_novo,closed_reference,sample085,0.3265494513946102
closed_reference,de_novo,sample085,0.3265494513946102
de_novo,de_novo,sample085,
closed_reference,closed_reference,sample085,
de_novo,closed_reference,sample094,0.33625321559354454
closed_reference,de_novo,sample094,0.33625321559354454
de_novo,de_novo,sample094,
closed_reference,closed_reference,sample094,
de_novo,closed_reference,sample111,0.28800565135406647
closed_reference,de_novo,sample111,0.28800565135406647
de_novo,de_novo,sample111,
closed_reference,closed_reference,sample111,
de_novo,closed_reference,sample102,0.36510974747798974
closed_reference,de_novo,sample102,0.36510974747798974
de_novo,de_novo,sample102,
closed_reference,closed_reference,sample102,
de_novo,closed_reference,sample107,0.3399143410639586
closed_reference,de_novo,sample107,0.3399143410639586
de_novo,de_novo,sample107,
closed_reference,closed_reference,sample107,
de_novo,closed_reference,sample084,0.3238022816309858
closed_reference,de_novo,sample084,0.3238022816309858
de_novo,de_novo,sample084,
closed_reference,closed_reference,sample084,
de_novo,closed_reference,sample095,0.3678053908557007
closed_reference,de_novo,sample095,0.3678053908557007
de_novo,de_novo,sample095,
closed_reference,closed_reference,sample095,
de_novo,closed_reference,sample104,0.34730682724764705
closed_reference,de_novo,sample104,0.34730682724764705
de_novo,de_novo,sample104,
closed_reference,closed_reference,sample104,
de_novo,closed_reference,sample074,0.3264649195831979
closed_reference,de_novo,sample074,0.3264649195831979
de_novo,de_novo,sample074,
closed_reference,closed_reference,sample074,
de_novo,closed_reference,sample109,0.2769570877237349
closed_reference,de_novo,sample109,0.2769570877237349
de_novo,de_novo,sample109,
closed_reference,closed_reference,sample109,
de_novo,closed_reference,sample100,0.36989126161424885
closed_reference,de_novo,sample100,0.36989126161424885
de_novo,de_novo,sample100,
closed_reference,closed_reference,sample100,
de_novo,closed_reference,sample108,0.3659629815602968
closed_reference,de_novo,sample108,0.3659629815602968
de_novo,de_novo,sample108,
closed_reference,closed_reference,sample108,
de_novo,closed_reference,sample110,0.0979096823599243
closed_reference,de_novo,sample110,0.0979096823599243
de_novo,de_novo,sample110,
closed_reference,closed_reference,sample110,
de_novo,closed_reference,sample073,0.17180835664981314
closed_reference,de_novo,sample073,0.17180835664981314
de_novo,de_novo,sample073,
closed_reference,closed_reference,sample073,
de_novo,closed_reference,sample092,0.13930281776375542
closed_reference,de_novo,sample092,0.13930281776375542
de_novo,de_novo,sample092,
closed_reference,closed_reference,sample092,
de_novo,closed_reference,sample099,0.27711772549810404
closed_reference,de_novo,sample099,0.27711772549810404
de_novo,de_novo,sample099,
closed_reference,closed_reference,sample099,
