task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1119	ca/bce152	436	network_inference_workflow:cozine_workflow:cozine (fmt-autism)	CACHED	0	2022-03-30 15:21:47.806	8m 52s	8m 38s	92.5%	315.6 MB	700.7 MB	19.9 MB	38 KB
1118	3e/7ec5cb	17700	network_inference_workflow:harmonies_workflow:harmonies (fmt-autism)	CACHED	0	2022-03-30 15:17:23.055	12m 45s	12m 31s	92.7%	281 MB	475.4 MB	28.1 MB	9.3 KB
1120	74/41c2a9	14159	network_inference_workflow:cozine_workflow:cozine (fmt-autism)	CACHED	0	2022-03-30 15:16:56.694	2m 55s	2m 41s	92.6%	292.7 MB	678.5 MB	19.8 MB	10 KB
1121	eb/2fb05c	18052	network_inference_workflow:cozine_workflow:cozine (fmt-control)	CACHED	0	2022-03-30 14:48:23.492	10m 29s	10m 16s	93.4%	320.1 MB	705.5 MB	19.9 MB	37.5 KB
1122	69/b33257	11192	network_inference_workflow:spieceasi_workflow:spieceasi (fmt-autism)	CACHED	0	2022-03-29 07:36:48.090	1m 20s	1m 7s	81.5%	284 MB	540.4 MB	19.9 MB	25.8 KB
1127	25/1ad536	31609	network_inference_workflow:spring_workflow:spring (fmt-autism)	CACHED	0	2022-03-30 11:03:20.172	1m 37s	1m 24s	93.2%	284.6 MB	613.5 MB	24.3 MB	23.7 KB
1134	8e/1595f8	24493	otu_processing_workflow:group (fmt-autism:Species)	CACHED	0	2022-03-29 09:11:04.433	3.6s	3.4s	57.6%	103.3 MB	396 MB	27.4 MB	111.2 KB
1123	e2/c69183	7673	network_inference_workflow:spring_workflow:spring (fmt-autism)	CACHED	0	2022-03-30 15:15:50.152	1m 7s	53.6s	89.2%	261.3 MB	594.6 MB	24.3 MB	14.1 KB
1126	b1/827b95	3399	network_inference_workflow:spring_workflow:spring (fmt-autism)	CACHED	0	2022-03-30 11:13:29.402	1m 37s	1m 24s	92.6%	284.6 MB	613.6 MB	24.3 MB	23.4 KB
1124	66/98d1d6	36706	network_inference_workflow:spring_workflow:spring (fmt-control)	CACHED	0	2022-03-30 14:45:26.697	3m 27s	3m 17s	94.3%	358.4 MB	691.4 MB	24.3 MB	48.5 KB
