Feature ID	Taxon	Confidence
c18bda6d32c81a9bab839ef0ea647442	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus	0.8
91a87325405bbe801e6b80e84794a59c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8
f8f3495ffa8ad111c9a314f196b839e4	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Dialister	0.6
45c8d14eb00ef2e9f7e2c5dd9f9e58bc	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9
3aff86612c636c81b8e9c03aab005cca	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
44762fa4fbf3bda4013056c5e32ee073	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	1.0
86ec537716ccea996d29a025dbd0e0da	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7777777777777778
472add265a8fecd6b4806faf02405a8f	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	1.0
364802912f16887aa5dbc406d72cfd36	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus	1.0
04e776b2dcbfa3b930453bf71dbfae6c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Faecalicatena	0.7
29c89bfc7a3f0ee4d64f4a72b813e9bb	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	1.0
afd904764927d913a0f6a0be03a0936d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8
